collected_at,route,flight_date,flight_status,dep_scheduled,dep_actual,dep_delay_min,arr_scheduled,arr_actual,arr_delay_min,airline
2026-07-08T22:11:13.401435,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,KLM
2026-07-08T22:11:13.401440,BLR-AMS,2026-07-07,landed,2026-07-07T01:05:00+00:00,2026-07-07T01:10:00+00:00,,2026-07-07T07:55:00+00:00,2026-07-07T07:34:00+00:00,,Delta Air Lines
2026-07-08T22:11:13.401446,BLR-AMS,2026-07-07,landed,2026-07-07T01:05:00+00:00,2026-07-07T01:10:00+00:00,,2026-07-07T07:55:00+00:00,2026-07-07T07:34:00+00:00,,Air France
2026-07-08T22:11:13.401451,BLR-AMS,2026-07-07,landed,2026-07-07T01:05:00+00:00,2026-07-07T01:10:00+00:00,,2026-07-07T07:55:00+00:00,2026-07-07T07:34:00+00:00,,KLM
2026-07-09T10:06:46.256264,BOM-FRA,2026-07-09,scheduled,2026-07-09T11:40:00+00:00,,,2026-07-09T17:55:00+00:00,,10,Lufthansa
2026-07-09T10:06:46.256318,BOM-FRA,2026-07-09,scheduled,2026-07-09T11:40:00+00:00,,,2026-07-09T17:55:00+00:00,,10,Air India
2026-07-09T10:06:46.256328,BOM-FRA,2026-07-09,active,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,,2026-07-09T08:05:00+00:00,,37,Alitalia
2026-07-09T10:06:46.256335,BOM-FRA,2026-07-09,active,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,,2026-07-09T08:05:00+00:00,,37,Air India
2026-07-09T10:06:46.256340,BOM-FRA,2026-07-09,active,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,,2026-07-09T08:05:00+00:00,,37,Air Canada
2026-07-09T10:06:46.256345,BOM-FRA,2026-07-09,scheduled,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,30,2026-07-09T08:05:00+00:00,,29,Lufthansa
2026-07-09T10:06:46.256350,BOM-FRA,2026-07-08,landed,2026-07-08T11:40:00+00:00,2026-07-08T12:10:00+00:00,,2026-07-08T17:55:00+00:00,2026-07-08T17:30:00+00:00,,Lufthansa
2026-07-09T10:06:46.256356,BOM-FRA,2026-07-08,landed,2026-07-08T11:40:00+00:00,2026-07-08T12:10:00+00:00,,2026-07-08T17:55:00+00:00,2026-07-08T17:30:00+00:00,,Air India
2026-07-09T10:06:46.256361,BOM-FRA,2026-07-08,landed,2026-07-08T08:10:00+00:00,2026-07-08T08:34:00+00:00,9,2026-07-08T13:30:00+00:00,2026-07-08T13:39:00+00:00,9,DHL Air
2026-07-09T10:06:46.256367,BOM-FRA,2026-07-08,scheduled,2026-07-08T02:40:00+00:00,2026-07-08T04:08:00+00:00,74,2026-07-08T08:05:00+00:00,,74,Air India
2026-07-09T10:06:46.256372,BOM-FRA,2026-07-08,scheduled,2026-07-08T02:40:00+00:00,2026-07-08T04:08:00+00:00,74,2026-07-08T08:05:00+00:00,,74,Air Canada
2026-07-09T10:06:46.256377,BOM-FRA,2026-07-08,scheduled,2026-07-08T02:40:00+00:00,2026-07-08T04:08:00+00:00,74,2026-07-08T08:05:00+00:00,,74,Lufthansa
2026-07-09T10:06:46.771323,DEL-CDG,2026-07-09,active,2026-07-09T09:38:00+00:00,,,2026-07-09T16:19:00+00:00,,10,FedEx
2026-07-09T10:06:46.771343,DEL-CDG,2026-07-09,scheduled,2026-07-09T12:10:00+00:00,,,2026-07-09T19:15:00+00:00,,30,Air India
2026-07-09T10:06:46.771350,DEL-CDG,2026-07-09,active,2026-07-09T00:50:00+00:00,2026-07-09T01:18:00+00:00,,2026-07-09T06:25:00+00:00,,,KLM
2026-07-09T10:06:46.771355,DEL-CDG,2026-07-09,active,2026-07-09T00:50:00+00:00,2026-07-09T01:18:00+00:00,,2026-07-09T06:25:00+00:00,,,Delta Air Lines
2026-07-09T10:06:46.771361,DEL-CDG,2026-07-09,active,2026-07-09T04:05:00+00:00,2026-07-09T04:11:00+00:00,,2026-07-09T10:05:00+00:00,,6,Cathay Pacific
2026-07-09T10:06:46.771366,DEL-CDG,2026-07-09,active,2026-07-09T00:50:00+00:00,2026-07-09T01:18:00+00:00,,2026-07-09T06:25:00+00:00,,,Air France
2026-07-09T10:06:46.771370,DEL-CDG,2026-07-08,scheduled,2026-07-08T12:10:00+00:00,2026-07-08T13:54:00+00:00,57,2026-07-08T19:15:00+00:00,,57,Singapore Airlines
2026-07-09T10:06:46.771376,DEL-CDG,2026-07-08,landed,2026-07-08T09:38:00+00:00,2026-07-08T09:44:00+00:00,,2026-07-08T15:40:00+00:00,2026-07-08T15:17:00+00:00,,FedEx
2026-07-09T10:06:46.771382,DEL-CDG,2026-07-08,scheduled,2026-07-08T12:10:00+00:00,2026-07-08T13:54:00+00:00,57,2026-07-08T19:15:00+00:00,,57,Air India
2026-07-09T10:06:46.771387,DEL-CDG,2026-07-08,landed,2026-07-08T00:50:00+00:00,2026-07-08T01:20:00+00:00,,2026-07-08T06:25:00+00:00,2026-07-08T06:23:00+00:00,,KLM
2026-07-09T10:06:46.771392,DEL-CDG,2026-07-08,landed,2026-07-08T00:50:00+00:00,2026-07-08T01:20:00+00:00,,2026-07-08T06:25:00+00:00,2026-07-08T06:23:00+00:00,,Delta Air Lines
2026-07-09T10:06:46.771398,DEL-CDG,2026-07-08,landed,2026-07-08T00:50:00+00:00,2026-07-08T01:20:00+00:00,,2026-07-08T06:25:00+00:00,2026-07-08T06:23:00+00:00,,Air France
2026-07-09T10:06:47.533361,BLR-AMS,2026-07-09,active,2026-07-09T10:10:00+00:00,,,2026-07-09T16:50:00+00:00,,10,Singapore Airlines
2026-07-09T10:06:47.533381,BLR-AMS,2026-07-09,active,2026-07-09T01:05:00+00:00,2026-07-09T01:15:00+00:00,,2026-07-09T07:55:00+00:00,,10,Delta Air Lines
2026-07-09T10:06:47.533389,BLR-AMS,2026-07-09,active,2026-07-09T01:05:00+00:00,2026-07-09T01:15:00+00:00,,2026-07-09T07:55:00+00:00,,10,Air France
2026-07-09T10:06:47.533394,BLR-AMS,2026-07-09,active,2026-07-09T01:05:00+00:00,2026-07-09T01:15:00+00:00,,2026-07-09T07:55:00+00:00,,,KLM
2026-07-09T10:06:47.533399,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,Delta Air Lines
2026-07-09T10:06:47.533408,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,Air France
2026-07-09T10:06:47.533414,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,KLM
2026-07-09T11:04:03.734998,BOM-FRA,2026-07-09,scheduled,2026-07-09T11:40:00+00:00,,,2026-07-09T17:55:00+00:00,,10,Lufthansa
2026-07-09T11:04:03.735048,BOM-FRA,2026-07-09,scheduled,2026-07-09T11:40:00+00:00,,,2026-07-09T17:55:00+00:00,,10,Air India
2026-07-09T11:04:03.735057,BOM-FRA,2026-07-09,active,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,,2026-07-09T08:05:00+00:00,,37,Alitalia
2026-07-09T11:04:03.735064,BOM-FRA,2026-07-09,active,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,,2026-07-09T08:05:00+00:00,,37,Air India
2026-07-09T11:04:03.735069,BOM-FRA,2026-07-09,active,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,,2026-07-09T08:05:00+00:00,,37,Air Canada
2026-07-09T11:04:03.735074,BOM-FRA,2026-07-09,scheduled,2026-07-09T02:40:00+00:00,2026-07-09T03:17:00+00:00,30,2026-07-09T08:05:00+00:00,,29,Lufthansa
2026-07-09T11:04:03.735080,BOM-FRA,2026-07-08,landed,2026-07-08T11:40:00+00:00,2026-07-08T12:10:00+00:00,,2026-07-08T17:55:00+00:00,2026-07-08T17:30:00+00:00,,Lufthansa
2026-07-09T11:04:03.735086,BOM-FRA,2026-07-08,landed,2026-07-08T11:40:00+00:00,2026-07-08T12:10:00+00:00,,2026-07-08T17:55:00+00:00,2026-07-08T17:30:00+00:00,,Air India
2026-07-09T11:04:03.735091,BOM-FRA,2026-07-08,landed,2026-07-08T08:10:00+00:00,2026-07-08T08:34:00+00:00,9,2026-07-08T13:30:00+00:00,2026-07-08T13:39:00+00:00,9,DHL Air
2026-07-09T11:04:03.735097,BOM-FRA,2026-07-08,scheduled,2026-07-08T02:40:00+00:00,2026-07-08T04:08:00+00:00,74,2026-07-08T08:05:00+00:00,,74,Air India
2026-07-09T11:04:03.735103,BOM-FRA,2026-07-08,scheduled,2026-07-08T02:40:00+00:00,2026-07-08T04:08:00+00:00,74,2026-07-08T08:05:00+00:00,,74,Air Canada
2026-07-09T11:04:03.735108,BOM-FRA,2026-07-08,scheduled,2026-07-08T02:40:00+00:00,2026-07-08T04:08:00+00:00,74,2026-07-08T08:05:00+00:00,,74,Lufthansa
2026-07-09T11:04:04.307620,DEL-CDG,2026-07-09,active,2026-07-09T09:38:00+00:00,2026-07-09T10:03:00+00:00,121,2026-07-09T15:40:00+00:00,,26,FedEx
2026-07-09T11:04:04.307639,DEL-CDG,2026-07-09,scheduled,2026-07-09T12:10:00+00:00,,,2026-07-09T19:15:00+00:00,,30,Air India
2026-07-09T11:04:04.307645,DEL-CDG,2026-07-09,landed,2026-07-09T00:50:00+00:00,2026-07-09T01:18:00+00:00,,2026-07-09T06:25:00+00:00,2026-07-09T06:18:00+00:00,,KLM
2026-07-09T11:04:04.307651,DEL-CDG,2026-07-09,landed,2026-07-09T00:50:00+00:00,2026-07-09T01:18:00+00:00,,2026-07-09T06:25:00+00:00,2026-07-09T06:18:00+00:00,,Delta Air Lines
2026-07-09T11:04:04.307657,DEL-CDG,2026-07-09,active,2026-07-09T04:05:00+00:00,2026-07-09T04:11:00+00:00,,2026-07-09T10:05:00+00:00,,6,Cathay Pacific
2026-07-09T11:04:04.307663,DEL-CDG,2026-07-09,landed,2026-07-09T00:50:00+00:00,2026-07-09T01:18:00+00:00,,2026-07-09T06:25:00+00:00,2026-07-09T06:18:00+00:00,,Air France
2026-07-09T11:04:04.307668,DEL-CDG,2026-07-08,scheduled,2026-07-08T12:10:00+00:00,2026-07-08T13:54:00+00:00,57,2026-07-08T19:15:00+00:00,,57,Singapore Airlines
2026-07-09T11:04:04.307674,DEL-CDG,2026-07-08,landed,2026-07-08T09:38:00+00:00,2026-07-08T09:44:00+00:00,,2026-07-08T15:40:00+00:00,2026-07-08T15:17:00+00:00,,FedEx
2026-07-09T11:04:04.307679,DEL-CDG,2026-07-08,scheduled,2026-07-08T12:10:00+00:00,2026-07-08T13:54:00+00:00,57,2026-07-08T19:15:00+00:00,,57,Air India
2026-07-09T11:04:04.307685,DEL-CDG,2026-07-08,landed,2026-07-08T00:50:00+00:00,2026-07-08T01:20:00+00:00,,2026-07-08T06:25:00+00:00,2026-07-08T06:23:00+00:00,,KLM
2026-07-09T11:04:04.307690,DEL-CDG,2026-07-08,landed,2026-07-08T00:50:00+00:00,2026-07-08T01:20:00+00:00,,2026-07-08T06:25:00+00:00,2026-07-08T06:23:00+00:00,,Delta Air Lines
2026-07-09T11:04:04.307696,DEL-CDG,2026-07-08,landed,2026-07-08T00:50:00+00:00,2026-07-08T01:20:00+00:00,,2026-07-08T06:25:00+00:00,2026-07-08T06:23:00+00:00,,Air France
2026-07-09T11:04:04.794621,BLR-AMS,2026-07-09,active,2026-07-09T10:10:00+00:00,2026-07-09T09:56:00+00:00,,2026-07-09T16:50:00+00:00,,,Singapore Airlines
2026-07-09T11:04:04.794661,BLR-AMS,2026-07-09,active,2026-07-09T01:05:00+00:00,2026-07-09T01:15:00+00:00,,2026-07-09T07:55:00+00:00,,10,Delta Air Lines
2026-07-09T11:04:04.794675,BLR-AMS,2026-07-09,active,2026-07-09T01:05:00+00:00,2026-07-09T01:15:00+00:00,,2026-07-09T07:55:00+00:00,,10,Air France
2026-07-09T11:04:04.794686,BLR-AMS,2026-07-09,active,2026-07-09T01:05:00+00:00,2026-07-09T01:15:00+00:00,,2026-07-09T07:55:00+00:00,,,KLM
2026-07-09T11:04:04.794696,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,Delta Air Lines
2026-07-09T11:04:04.794708,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,Air France
2026-07-09T11:04:04.794718,BLR-AMS,2026-07-08,landed,2026-07-08T01:05:00+00:00,2026-07-08T01:22:00+00:00,,2026-07-08T07:55:00+00:00,2026-07-08T07:40:00+00:00,,KLM
